description,timestamp,fullness,collection,location
157 Pearl St,08/22/2014 09:25:00 AM,GREEN,True,"(42.3545293, -71.05337349)"
402 Atlantic Ave,07/20/2014 02:20:00 PM,YELLOW,False,"(42.3556264, -71.0507777)"
Washington st at Expressions store,10/13/2014 03:26:00 PM,YELLOW,False,"(42.35465, -71.06139)"
Cambridge and Joy in front of beacon hill athletic club,10/09/2014 09:09:00 AM,GREEN,True,"(42.3611127, -71.0650131)"
150 Brighton Ave / Sunrise Market & Blanchard's,05/03/2014 08:15:00 PM,YELLOW,False,"(42.35292705, -71.13232101)"
276 Washington,08/19/2014 11:16:00 AM,RED,False,"(42.35756, -71.05813)"
SE Brookline & Newbury (opp Popeyes chicken),10/31/2014 11:35:00 AM,RED,False,"(42.34818234, -71.09744473)"
Washington and Milk Boston Ma,06/24/2014 04:30:00 PM,GREEN,True,"(42.35710853, -71.05877311)"
100 Meridian @ London,01/09/2014 08:06:00 AM,GREEN,True,"(42.37344585, -71.03900682)"
51 Clarendon/corner Chandler,10/16/2014 06:05:00 PM,GREEN,True,"(42.34634, -71.07312)"
311 Huntington Ave / Huntington (Westbound) and Opera,01/22/2014 12:18:00 PM,GREEN,True,"(42.34052963, -71.0888865)"
627 Tremont St,07/19/2014 03:32:00 PM,GREEN,True,"(42.34253228, -71.07451491)"
Hanover and Cross St (Citizen Bank),10/18/2014 07:59:00 PM,RED,False,"(42.36269134, -71.05586617)"
6 Post Office Square // Fed Ex Store,04/07/2014 11:20:00 AM,YELLOW,False,"(42.357549, -71.0562522)"
1124 Boylston St.,01/12/2014 01:32:00 PM,YELLOW,False,"(42.3467963, -71.0889104)"
1330 Boylston @ Jersey Street,04/14/2014 10:59:00 AM,GREEN,True,"(42.3445655, -71.097831)"
339 Washington St,11/26/2014 10:08:00 AM,GREEN,True,"(42.3573978, -71.0583383)"
State & Broad St (Dunkin),02/10/2014 08:02:00 PM,GREEN,False,"(42.35912326, -71.05476392)"
Mass Ave North at St Stephens (Across from Symphony),03/06/2014 11:27:00 AM,GREEN,True,"(42.3435041, -71.0857301)"
Glenville Tr and Harvard Ave,07/19/2014 01:34:00 AM,RED,False,"(42.3511566, -71.1314505)"
331 Hanover Street,10/12/2014 04:01:00 PM,GREEN,True,"(42.364252, -71.053905)"
Cambridge St and New Chardon (dunkin doughnuts),02/08/2014 01:59:00 PM,YELLOW,False,"(42.36141985, -71.06307164)"
900 Boylston St (Capital Grille),12/05/2014 07:36:00 AM,GREEN,True,"(42.34782955, -71.08538437)"
"Commercial and Prince St. ""Parking garage entrance""",03/17/2014 08:00:00 AM,YELLOW,False,"(42.3654997, -71.0559562)"
6 Post Office Square // Fed Ex Store,01/08/2014 11:48:00 AM,YELLOW,False,"(42.357549, -71.0562522)"
Columbus @ Clarendon,02/28/2014 07:25:00 PM,GREEN,True,"(42.3471, -71.07368)"
Cambridge St and New Chardon (dunkin doughnuts),05/28/2014 07:52:00 PM,GREEN,True,"(42.36141985, -71.06307164)"
High & Summer (Sovereign Bank),09/03/2014 01:22:00 PM,RED,False,"(42.35314697, -71.05697949)"
Boylston and Dartmouth St (Library Entrance),02/01/2014 09:41:00 AM,RED,False,"(42.34994355, -71.07731053)"
NE Beach and Washington (Q Hot spot restaurant),05/31/2014 12:43:00 AM,GREEN,True,"(42.35159759, -71.0627522)"
1101 Commonwealth Ave @ Packards Corner,11/16/2014 02:06:00 AM,YELLOW,False,"(42.3519077, -71.1254203)"
Cambridge St and No Beacon (Northside of Cambridge),08/14/2014 07:58:00 AM,YELLOW,False,"(42.35370841, -71.13726964)"
SW Van Ness and Yawkey Way,04/07/2014 07:57:00 AM,YELLOW,False,"(42.34528598, -71.0984011)"
784 Huntington across from Fenwood &,08/13/2014 10:52:00 AM,GREEN,True,"(42.33369, -71.100577)"
1956 Beacon Street @ Sutherland (Starbucks),07/03/2014 08:29:00 AM,GREEN,True,"(42.33615978, -71.15020115)"
276 Washington,07/27/2014 10:09:00 AM,YELLOW,False,"(42.35756, -71.05813)"
Arlington St & Stuart St (100 Arlington),07/10/2014 11:17:00 AM,GREEN,True,"(42.35008178, -71.0697505)"
659 Tremont St,10/29/2014 06:02:00 PM,GREEN,True,"(42.34198461, -71.07515395)"
Mass Ave. @ Beacon Northbound,02/03/2014 10:52:00 AM,GREEN,True,"(42.35083018, -71.08942683)"
SW N. Washington & Causeway,09/20/2014 03:59:00 AM,GREEN,True,"(42.36671342, -71.05860344)"
Tremont & Bromfield St  (Suffolk Law School),06/24/2014 12:06:00 PM,YELLOW,False,"(42.35708226, -71.06130118)"
Queensberry & Jersey @ Laundry Center,10/10/2014 11:37:00 AM,YELLOW,False,"(42.3428624, -71.0970032)"
SE Corner 148 Brookline Ave (in front of Chipotle),08/08/2014 06:47:00 PM,RED,False,"(42.34476148, -71.10106409)"
Devonshire St (Old State House),07/28/2014 08:17:00 AM,YELLOW,False,"(42.3586188, -71.05729207)"
Cambridge St and New Chardon (dunkin doughnuts),09/12/2014 06:25:00 AM,YELLOW,False,"(42.36141985, -71.06307164)"
261 Hanover Street,07/25/2014 07:44:00 PM,GREEN,True,"(42.3636, -71.05487)"
Tremont & Bromfield St  (Suffolk Law School),09/23/2014 04:08:00 AM,GREEN,True,"(42.35708226, -71.06130118)"
400 Stuart St @ Clarendon,04/02/2014 03:36:00 PM,RED,False,"(42.34883727, -71.07417681)"
789 Harrison Ave,10/19/2014 03:24:00 AM,GREEN,True,"(42.33604, -71.07374)"
30 Kneeland,11/29/2014 02:43:00 PM,YELLOW,False,"(42.35078, -71.06184)"
"202 Essex Street ""Boston Sports Club""",08/29/2014 12:01:00 PM,RED,False,"(42.35181349, -71.05612433)"
Lincoln and Tufts,01/16/2014 11:32:00 AM,GREEN,True,"(42.35102668, -71.05911331)"
536 Tremont,11/18/2014 10:24:00 AM,GREEN,True,"(42.34445, -71.07067)"
150 Newbury Street,03/28/2014 08:03:00 AM,GREEN,True,"(42.35081, -71.07782)"
147 Tremont @ West Street (Opposite Boston Common),04/29/2014 10:43:00 AM,YELLOW,False,"(42.35520119, -71.06320713)"
789 Harrison Ave,07/02/2014 03:31:00 AM,GREEN,True,"(42.33604, -71.07374)"
129 Tremont St (burger king),05/10/2014 05:21:00 PM,YELLOW,False,"(42.35634431, -71.06203197)"
281 Franklin Street @ Batterymarch Street,04/15/2014 01:30:00 AM,GREEN,True,"(42.35694113, -71.05320165)"
157 Pearl St,06/25/2014 08:48:00 AM,GREEN,True,"(42.3545293, -71.05337349)"
Hanover & Congress St (Across City Hall Plaza),09/07/2014 10:59:00 AM,YELLOW,False,"(42.36169421, -71.05753524)"
Summer & Chauncey (Rear Entrance Macy's),09/23/2014 12:18:00 PM,YELLOW,False,"(42.3545003, -71.0591524)"
